pc_time,packet_type,esp_millis,steer,throttle,brake,mode_id,fault_flag,status_text,raw_line
2026-04-23 16:40:36.628,STATUS,381372,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-35","STATUS,381372,WIFI_ALIVE,IP=10.198.115.147,RSSI=-35"
2026-04-23 16:40:41.629,STATUS,386373,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-35","STATUS,386373,WIFI_ALIVE,IP=10.198.115.147,RSSI=-35"
2026-04-23 16:40:51.113,STATUS,4957,,,,,,"WIFI_OK,IP=10.198.115.147","STATUS,4957,WIFI_OK,IP=10.198.115.147"
2026-04-23 16:40:51.412,STATUS,5259,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-34","STATUS,5259,WIFI_ALIVE,IP=10.198.115.147,RSSI=-34"
2026-04-23 16:40:56.399,STATUS,10259,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-43","STATUS,10259,WIFI_ALIVE,IP=10.198.115.147,RSSI=-43"
2026-04-23 16:41:01.402,STATUS,15260,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-42","STATUS,15260,WIFI_ALIVE,IP=10.198.115.147,RSSI=-42"
2026-04-23 16:41:06.402,STATUS,20261,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-38","STATUS,20261,WIFI_ALIVE,IP=10.198.115.147,RSSI=-38"
2026-04-23 16:41:11.403,STATUS,25262,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-37","STATUS,25262,WIFI_ALIVE,IP=10.198.115.147,RSSI=-37"
2026-04-23 16:41:19.066,STATUS,4956,,,,,,"WIFI_OK,IP=10.198.115.147","STATUS,4956,WIFI_OK,IP=10.198.115.147"
2026-04-23 16:41:19.364,STATUS,5257,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-41","STATUS,5257,WIFI_ALIVE,IP=10.198.115.147,RSSI=-41"
2026-04-23 16:41:24.364,STATUS,10258,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-34","STATUS,10258,WIFI_ALIVE,IP=10.198.115.147,RSSI=-34"
2026-04-23 16:41:29.402,STATUS,15259,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-42","STATUS,15259,WIFI_ALIVE,IP=10.198.115.147,RSSI=-42"
2026-04-23 16:41:34.366,STATUS,20260,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-45","STATUS,20260,WIFI_ALIVE,IP=10.198.115.147,RSSI=-45"
2026-04-23 16:41:39.366,STATUS,25261,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-44","STATUS,25261,WIFI_ALIVE,IP=10.198.115.147,RSSI=-44"
2026-04-23 16:41:44.368,STATUS,30262,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-44","STATUS,30262,WIFI_ALIVE,IP=10.198.115.147,RSSI=-44"
