pc_time,packet_type,esp_millis,byte_hex,byte_dec,steer,throttle,brake,mode_id,fault_flag,status_text,raw_line
2026-04-23 16:01:34.026,STATUS,1551830,,,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-36","STATUS,1551830,WIFI_ALIVE,IP=10.198.115.147,RSSI=-36"
2026-04-23 16:01:39.031,STATUS,1556831,,,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-36","STATUS,1556831,WIFI_ALIVE,IP=10.198.115.147,RSSI=-36"
2026-04-23 16:01:44.028,STATUS,1561832,,,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-36","STATUS,1561832,WIFI_ALIVE,IP=10.198.115.147,RSSI=-36"
2026-04-23 16:01:53.011,STATUS,8155,,,,,,,,"WIFI_OK,IP=10.198.115.147","STATUS,8155,WIFI_OK,IP=10.198.115.147"
2026-04-23 16:01:53.410,STATUS,8556,,,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-42","STATUS,8556,WIFI_ALIVE,IP=10.198.115.147,RSSI=-42"
2026-04-23 16:01:53.410,RAWBYTE,8557,16,22,,,,,,,"RAWBYTE,8557,16,22"
2026-04-23 16:01:53.426,RAWBYTE,8577,0a,10,,,,,,,"RAWBYTE,8577,0a,10"
2026-04-23 16:01:53.443,RAWBYTE,8598,02,2,,,,,,,"RAWBYTE,8598,02,2"
2026-04-23 16:01:53.465,RAWBYTE,8618,01,1,,,,,,,"RAWBYTE,8618,01,1"
2026-04-23 16:01:53.484,RAWBYTE,8639,21,33,,,,,,,"RAWBYTE,8639,21,33"
2026-04-23 16:01:53.504,RAWBYTE,8659,2c,44,,,,,,,"RAWBYTE,8659,2c,44"
2026-04-23 16:01:53.526,RAWBYTE,8680,16,22,,,,,,,"RAWBYTE,8680,16,22"
2026-04-23 16:01:53.545,RAWBYTE,8700,0b,11,,,,,,,"RAWBYTE,8700,0b,11"
2026-04-23 16:01:53.567,RAWBYTE,8721,16,22,,,,,,,"RAWBYTE,8721,16,22"
2026-04-23 16:01:53.587,RAWBYTE,8741,0a,10,,,,,,,"RAWBYTE,8741,0a,10"
2026-04-23 16:01:53.607,RAWBYTE,8762,02,2,,,,,,,"RAWBYTE,8762,02,2"
2026-04-23 16:01:53.644,RAWBYTE,8782,01,1,,,,,,,"RAWBYTE,8782,01,1"
2026-04-23 16:01:53.659,RAWBYTE,8803,0b,11,,,,,,,"RAWBYTE,8803,0b,11"
2026-04-23 16:01:53.669,RAWBYTE,8823,16,22,,,,,,,"RAWBYTE,8823,16,22"
2026-04-23 16:01:53.689,RAWBYTE,8843,21,33,,,,,,,"RAWBYTE,8843,21,33"
2026-04-23 16:01:53.716,RAWBYTE,8864,02,2,,,,,,,"RAWBYTE,8864,02,2"
2026-04-23 16:01:53.732,RAWBYTE,8884,01,1,,,,,,,"RAWBYTE,8884,01,1"
2026-04-23 16:01:53.750,RAWBYTE,8905,02,2,,,,,,,"RAWBYTE,8905,02,2"
2026-04-23 16:01:53.771,RAWBYTE,8925,01,1,,,,,,,"RAWBYTE,8925,01,1"
2026-04-23 16:01:53.800,RAWBYTE,8946,0b,11,,,,,,,"RAWBYTE,8946,0b,11"
2026-04-23 16:01:53.816,RAWBYTE,8966,2c,44,,,,,,,"RAWBYTE,8966,2c,44"
2026-04-23 16:01:53.832,RAWBYTE,8987,21,33,,,,,,,"RAWBYTE,8987,21,33"
2026-04-23 16:01:53.861,RAWBYTE,9007,0a,10,,,,,,,"RAWBYTE,9007,0a,10"
2026-04-23 16:01:53.874,RAWBYTE,9028,21,33,,,,,,,"RAWBYTE,9028,21,33"
2026-04-23 16:01:53.894,RAWBYTE,9048,2c,44,,,,,,,"RAWBYTE,9048,2c,44"
2026-04-23 16:01:53.919,RAWBYTE,9069,01,1,,,,,,,"RAWBYTE,9069,01,1"
2026-04-23 16:01:53.936,RAWBYTE,9089,02,2,,,,,,,"RAWBYTE,9089,02,2"
2026-04-23 16:01:53.955,RAWBYTE,9110,2c,44,,,,,,,"RAWBYTE,9110,2c,44"
2026-04-23 16:01:53.976,RAWBYTE,9130,16,22,,,,,,,"RAWBYTE,9130,16,22"
2026-04-23 16:01:53.996,RAWBYTE,9150,21,33,,,,,,,"RAWBYTE,9150,21,33"
2026-04-23 16:01:54.017,RAWBYTE,9171,0b,11,,,,,,,"RAWBYTE,9171,0b,11"
2026-04-23 16:01:54.050,RAWBYTE,9191,02,2,,,,,,,"RAWBYTE,9191,02,2"
2026-04-23 16:01:54.064,RAWBYTE,9212,01,1,,,,,,,"RAWBYTE,9212,01,1"
2026-04-23 16:01:54.078,RAWBYTE,9232,0b,11,,,,,,,"RAWBYTE,9232,0b,11"
2026-04-23 16:01:54.099,RAWBYTE,9253,16,22,,,,,,,"RAWBYTE,9253,16,22"
2026-04-23 16:01:54.119,RAWBYTE,9273,0a,10,,,,,,,"RAWBYTE,9273,0a,10"
2026-04-23 16:01:54.140,RAWBYTE,9294,0b,11,,,,,,,"RAWBYTE,9294,0b,11"
2026-04-23 16:01:54.159,RAWBYTE,9314,2c,44,,,,,,,"RAWBYTE,9314,2c,44"
2026-04-23 16:01:54.189,RAWBYTE,9335,0a,10,,,,,,,"RAWBYTE,9335,0a,10"
2026-04-23 16:01:54.204,RAWBYTE,9355,0b,11,,,,,,,"RAWBYTE,9355,0b,11"
2026-04-23 16:01:54.221,RAWBYTE,9376,2c,44,,,,,,,"RAWBYTE,9376,2c,44"
2026-04-23 16:01:54.243,RAWBYTE,9396,0a,10,,,,,,,"RAWBYTE,9396,0a,10"
2026-04-23 16:01:54.262,RAWBYTE,9417,0b,11,,,,,,,"RAWBYTE,9417,0b,11"
2026-04-23 16:01:54.283,RAWBYTE,9437,16,22,,,,,,,"RAWBYTE,9437,16,22"
2026-04-23 16:01:54.304,RAWBYTE,9457,0a,10,,,,,,,"RAWBYTE,9457,0a,10"
2026-04-23 16:01:54.324,RAWBYTE,9478,02,2,,,,,,,"RAWBYTE,9478,02,2"
2026-04-23 16:01:54.345,RAWBYTE,9498,16,22,,,,,,,"RAWBYTE,9498,16,22"
2026-04-23 16:01:54.364,RAWBYTE,9519,21,33,,,,,,,"RAWBYTE,9519,21,33"
2026-04-23 16:01:54.386,RAWBYTE,9539,21,33,,,,,,,"RAWBYTE,9539,21,33"
2026-04-23 16:01:54.406,RAWBYTE,9560,21,33,,,,,,,"RAWBYTE,9560,21,33"
2026-04-23 16:01:54.437,RAWBYTE,9580,2c,44,,,,,,,"RAWBYTE,9580,2c,44"
2026-04-23 16:01:54.448,RAWBYTE,9601,21,33,,,,,,,"RAWBYTE,9601,21,33"
2026-04-23 16:01:54.467,RAWBYTE,9621,02,2,,,,,,,"RAWBYTE,9621,02,2"
2026-04-23 16:01:54.488,RAWBYTE,9642,01,1,,,,,,,"RAWBYTE,9642,01,1"
2026-04-23 16:01:54.508,RAWBYTE,9662,0b,11,,,,,,,"RAWBYTE,9662,0b,11"
2026-04-23 16:01:54.528,RAWBYTE,9683,16,22,,,,,,,"RAWBYTE,9683,16,22"
2026-04-23 16:01:54.558,RAWBYTE,9703,21,33,,,,,,,"RAWBYTE,9703,21,33"
2026-04-23 16:01:54.569,RAWBYTE,9724,2c,44,,,,,,,"RAWBYTE,9724,2c,44"
2026-04-23 16:01:54.590,RAWBYTE,9744,0a,10,,,,,,,"RAWBYTE,9744,0a,10"
2026-04-23 16:01:54.610,RAWBYTE,9764,0b,11,,,,,,,"RAWBYTE,9764,0b,11"
2026-04-23 16:01:54.631,RAWBYTE,9785,16,22,,,,,,,"RAWBYTE,9785,16,22"
2026-04-23 16:01:54.653,RAWBYTE,9805,21,33,,,,,,,"RAWBYTE,9805,21,33"
2026-04-23 16:01:54.672,RAWBYTE,9826,02,2,,,,,,,"RAWBYTE,9826,02,2"
2026-04-23 16:01:54.694,RAWBYTE,9846,16,22,,,,,,,"RAWBYTE,9846,16,22"
2026-04-23 16:01:54.712,RAWBYTE,9867,01,1,,,,,,,"RAWBYTE,9867,01,1"
2026-04-23 16:01:54.733,RAWBYTE,9888,0b,11,,,,,,,"RAWBYTE,9888,0b,11"
2026-04-23 16:01:54.755,RAWBYTE,9908,2c,44,,,,,,,"RAWBYTE,9908,2c,44"
2026-04-23 16:01:54.774,RAWBYTE,9929,0a,10,,,,,,,"RAWBYTE,9929,0a,10"
2026-04-23 16:01:54.795,RAWBYTE,9949,02,2,,,,,,,"RAWBYTE,9949,02,2"
2026-04-23 16:01:54.815,RAWBYTE,9969,16,22,,,,,,,"RAWBYTE,9969,16,22"
2026-04-23 16:01:54.836,RAWBYTE,9990,0a,10,,,,,,,"RAWBYTE,9990,0a,10"
2026-04-23 16:01:54.858,RAWBYTE,10011,0b,11,,,,,,,"RAWBYTE,10011,0b,11"
2026-04-23 16:01:54.877,RAWBYTE,10031,16,22,,,,,,,"RAWBYTE,10031,16,22"
2026-04-23 16:01:54.900,RAWBYTE,10051,0a,10,,,,,,,"RAWBYTE,10051,0a,10"
2026-04-23 16:01:54.918,RAWBYTE,10072,0b,11,,,,,,,"RAWBYTE,10072,0b,11"
2026-04-23 16:01:54.938,RAWBYTE,10093,16,22,,,,,,,"RAWBYTE,10093,16,22"
2026-04-23 16:01:54.966,RAWBYTE,10113,21,33,,,,,,,"RAWBYTE,10113,21,33"
2026-04-23 16:01:54.979,RAWBYTE,10133,2c,44,,,,,,,"RAWBYTE,10133,2c,44"
2026-04-23 16:01:55.000,RAWBYTE,10154,01,1,,,,,,,"RAWBYTE,10154,01,1"
2026-04-23 16:01:55.020,RAWBYTE,10174,21,33,,,,,,,"RAWBYTE,10174,21,33"
2026-04-23 16:01:55.043,RAWBYTE,10195,02,2,,,,,,,"RAWBYTE,10195,02,2"
2026-04-23 16:01:55.076,RAWBYTE,10215,16,22,,,,,,,"RAWBYTE,10215,16,22"
2026-04-23 16:01:55.082,RAWBYTE,10236,0a,10,,,,,,,"RAWBYTE,10236,0a,10"
2026-04-23 16:01:55.103,RAWBYTE,10256,0b,11,,,,,,,"RAWBYTE,10256,0b,11"
2026-04-23 16:01:55.123,RAWBYTE,10277,2c,44,,,,,,,"RAWBYTE,10277,2c,44"
2026-04-23 16:01:55.143,RAWBYTE,10297,01,1,,,,,,,"RAWBYTE,10297,01,1"
2026-04-23 16:01:55.165,RAWBYTE,10318,02,2,,,,,,,"RAWBYTE,10318,02,2"
2026-04-23 16:01:55.184,RAWBYTE,10338,21,33,,,,,,,"RAWBYTE,10338,21,33"
2026-04-23 16:01:55.216,RAWBYTE,10359,02,2,,,,,,,"RAWBYTE,10359,02,2"
2026-04-23 16:01:55.225,RAWBYTE,10379,16,22,,,,,,,"RAWBYTE,10379,16,22"
2026-04-23 16:01:55.247,RAWBYTE,10400,01,1,,,,,,,"RAWBYTE,10400,01,1"
2026-04-23 16:01:55.269,RAWBYTE,10420,21,33,,,,,,,"RAWBYTE,10420,21,33"
2026-04-23 16:01:55.286,RAWBYTE,10440,2c,44,,,,,,,"RAWBYTE,10440,2c,44"
2026-04-23 16:01:55.307,RAWBYTE,10461,0a,10,,,,,,,"RAWBYTE,10461,0a,10"
2026-04-23 16:01:55.328,RAWBYTE,10481,0b,11,,,,,,,"RAWBYTE,10481,0b,11"
2026-04-23 16:01:55.357,RAWBYTE,10502,16,22,,,,,,,"RAWBYTE,10502,16,22"
2026-04-23 16:01:55.371,RAWBYTE,10522,0a,10,,,,,,,"RAWBYTE,10522,0a,10"
2026-04-23 16:01:55.388,RAWBYTE,10543,0b,11,,,,,,,"RAWBYTE,10543,0b,11"
2026-04-23 16:01:55.419,RAWBYTE,10563,2c,44,,,,,,,"RAWBYTE,10563,2c,44"
2026-04-23 16:01:55.435,RAWBYTE,10584,0a,10,,,,,,,"RAWBYTE,10584,0a,10"
2026-04-23 16:01:55.450,RAWBYTE,10604,02,2,,,,,,,"RAWBYTE,10604,02,2"
2026-04-23 16:01:55.472,RAWBYTE,10625,16,22,,,,,,,"RAWBYTE,10625,16,22"
2026-04-23 16:01:55.491,RAWBYTE,10645,0a,10,,,,,,,"RAWBYTE,10645,0a,10"
2026-04-23 16:01:55.512,RAWBYTE,10666,21,33,,,,,,,"RAWBYTE,10666,21,33"
2026-04-23 16:01:55.538,RAWBYTE,10686,02,2,,,,,,,"RAWBYTE,10686,02,2"
2026-04-23 16:01:55.552,RAWBYTE,10707,01,1,,,,,,,"RAWBYTE,10707,01,1"
