pc_time,packet_type,esp_millis,steer,throttle,brake,mode_id,fault_flag,status_text
2026-04-23 15:12:36.495,STATUS,450484,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-40"
2026-04-23 15:12:41.495,STATUS,455485,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-41"
2026-04-23 15:12:49.768,STATUS,6073,,,,,,"WIFI_OK,IP=10.198.115.147"
2026-04-23 15:12:50.164,STATUS,6474,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-37"
2026-04-23 15:12:55.169,STATUS,11475,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-42"
2026-04-23 15:13:00.167,STATUS,16476,,,,,,"WIFI_ALIVE,IP=10.198.115.147,RSSI=-42"
2026-04-23 15:13:03.725,STATUS,20034,,,,,,FRAME_ERROR
2026-04-23 15:13:03.778,STATUS,20088,,,,,,FRAME_ERROR
2026-04-23 15:13:03.785,STATUS,20095,,,,,,FRAME_ERROR
2026-04-23 15:13:03.786,STATUS,20097,,,,,,FRAME_ERROR
2026-04-23 15:13:03.790,STATUS,20101,,,,,,FRAME_ERROR
2026-04-23 15:13:03.797,STATUS,20106,,,,,,FRAME_ERROR
2026-04-23 15:13:03.801,STATUS,20110,,,,,,FRAME_ERROR
2026-04-23 15:13:03.801,STATUS,20112,,,,,,FRAME_ERROR
2026-04-23 15:13:03.805,STATUS,20114,,,,,,FRAME_ERROR
2026-04-23 15:13:03.808,STATUS,20118,,,,,,FRAME_ERROR
2026-04-23 15:13:03.814,STATUS,20124,,,,,,FRAME_ERROR
2026-04-23 15:13:03.819,STATUS,20129,,,,,,FRAME_ERROR
2026-04-23 15:13:03.822,STATUS,20133,,,,,,FRAME_ERROR
2026-04-23 15:13:03.826,STATUS,20137,,,,,,FRAME_ERROR
2026-04-23 15:13:03.891,STATUS,20201,,,,,,FRAME_ERROR
2026-04-23 15:13:03.906,STATUS,20216,,,,,,FRAME_ERROR
2026-04-23 15:13:03.911,STATUS,20219,,,,,,FRAME_ERROR
2026-04-23 15:13:03.912,STATUS,20222,,,,,,FRAME_ERROR
2026-04-23 15:13:03.913,STATUS,20224,,,,,,FRAME_ERROR
2026-04-23 15:13:03.916,STATUS,20226,,,,,,FRAME_ERROR
2026-04-23 15:13:03.923,STATUS,20233,,,,,,FRAME_ERROR
2026-04-23 15:13:03.926,STATUS,20236,,,,,,FRAME_ERROR
2026-04-23 15:13:03.933,STATUS,20243,,,,,,FRAME_ERROR
2026-04-23 15:13:03.936,STATUS,20246,,,,,,FRAME_ERROR
2026-04-23 15:13:03.940,STATUS,20250,,,,,,FRAME_ERROR
2026-04-23 15:13:03.947,STATUS,20257,,,,,,FRAME_ERROR
2026-04-23 15:13:03.950,STATUS,20259,,,,,,FRAME_ERROR
2026-04-23 15:13:03.953,STATUS,20262,,,,,,FRAME_ERROR
2026-04-23 15:13:03.957,STATUS,20266,,,,,,FRAME_ERROR
2026-04-23 15:13:03.963,STATUS,20273,,,,,,FRAME_ERROR
2026-04-23 15:13:03.967,STATUS,20277,,,,,,FRAME_ERROR
2026-04-23 15:13:03.973,STATUS,20280,,,,,,FRAME_ERROR
2026-04-23 15:13:03.974,STATUS,20283,,,,,,FRAME_ERROR
2026-04-23 15:13:03.976,STATUS,20285,,,,,,FRAME_ERROR
2026-04-23 15:13:03.979,STATUS,20289,,,,,,FRAME_ERROR
2026-04-23 15:13:03.987,STATUS,20296,,,,,,FRAME_ERROR
2026-04-23 15:13:03.994,STATUS,20303,,,,,,FRAME_ERROR
2026-04-23 15:13:03.999,STATUS,20307,,,,,,FRAME_ERROR
2026-04-23 15:13:03.999,STATUS,20309,,,,,,FRAME_ERROR
2026-04-23 15:13:04.000,STATUS,20311,,,,,,FRAME_ERROR
2026-04-23 15:13:04.005,STATUS,20313,,,,,,FRAME_ERROR
2026-04-23 15:13:04.006,STATUS,20316,,,,,,FRAME_ERROR
2026-04-23 15:13:04.017,STATUS,20320,,,,,,FRAME_ERROR
2026-04-23 15:13:04.031,STATUS,20324,,,,,,FRAME_ERROR
2026-04-23 15:13:04.038,STATUS,20328,,,,,,FRAME_ERROR
2026-04-23 15:13:04.048,STATUS,20332,,,,,,FRAME_ERROR
2026-04-23 15:13:04.048,STATUS,20336,,,,,,FRAME_ERROR
2026-04-23 15:13:04.058,STATUS,20340,,,,,,FRAME_ERROR
2026-04-23 15:13:04.069,STATUS,20344,,,,,,FRAME_ERROR
2026-04-23 15:13:04.078,STATUS,20348,,,,,,FRAME_ERROR
2026-04-23 15:13:04.089,STATUS,20352,,,,,,FRAME_ERROR
2026-04-23 15:13:04.121,STATUS,20356,,,,,,FRAME_ERROR
2026-04-23 15:13:04.122,STATUS,20360,,,,,,FRAME_ERROR
2026-04-23 15:13:04.122,STATUS,20364,,,,,,FRAME_ERROR
2026-04-23 15:13:04.122,STATUS,20372,,,,,,FRAME_ERROR
2026-04-23 15:13:04.122,STATUS,20380,,,,,,FRAME_ERROR
2026-04-23 15:13:04.122,STATUS,20392,,,,,,FRAME_ERROR
2026-04-23 15:13:04.123,STATUS,20400,,,,,,FRAME_ERROR
2026-04-23 15:13:04.123,STATUS,20412,,,,,,FRAME_ERROR
2026-04-23 15:13:04.138,STATUS,20444,,,,,,FRAME_ERROR
2026-04-23 15:13:04.166,STATUS,20474,,,,,,FRAME_ERROR
2026-04-23 15:13:04.192,STATUS,20501,,,,,,FRAME_ERROR
2026-04-23 15:13:04.335,STATUS,20635,,,,,,FRAME_ERROR
2026-04-23 15:13:04.335,STATUS,20638,,,,,,FRAME_ERROR
2026-04-23 15:13:04.358,STATUS,20668,,,,,,FRAME_ERROR
2026-04-23 15:13:04.387,STATUS,20694,,,,,,FRAME_ERROR
2026-04-23 15:13:04.453,STATUS,20761,,,,,,FRAME_ERROR
