timestamp_s,session_id,scenario_id,phase,steer_in_deg,throttle_in,brake_in,speed_mps,yaw_rad,yaw_rate_rps,mode_id,fault_flag,rtt_s,jitter_s,steer_ref_deg,throttle_ref,brake_ref,speed_ref_mps,tol_steer_deg,tol_throttle,tol_brake,tol_speed_mps,e_steer_deg,e_throttle,e_brake,e_speed_mps
2.453,S20260416_115710,SC01,accel_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0.0,3.0,2.0,0.05,0.05,0.5,0.0,-0.12,0.0,-3.0
2.513,S20260416_115710,SC01,accel_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0.0,3.0,2.0,0.05,0.05,0.5,0.0,-0.12,0.0,-3.0
2.575,S20260416_115710,SC01,accel_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0.0,3.0,2.0,0.05,0.05,0.5,0.0,-0.12,0.0,-3.0
2.635,S20260416_115710,SC01,accel_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0.0,3.0,2.0,0.05,0.05,0.5,0.0,-0.12,0.0,-3.0
2.699,S20260416_115710,SC01,accel_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0.0,3.0,2.0,0.05,0.05,0.5,0.0,-0.12,0.0,-3.0
2.763,S20260416_115710,SC01,accel_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0.0,3.0,2.0,0.05,0.05,0.5,0.0,-0.12,0.0,-3.0
2.821,S20260416_115710,SC01,accel_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0.0,3.0,2.0,0.05,0.05,0.5,0.0,-0.12,0.0,-3.0
2.885,S20260416_115710,SC01,accel_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0.0,3.0,2.0,0.05,0.05,0.5,0.0,-0.12,0.0,-3.0
2.949,S20260416_115710,SC01,accel_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0.0,3.0,2.0,0.05,0.05,0.5,0.0,-0.12,0.0,-3.0
3.009,S20260416_115710,SC01,accel_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0.0,3.0,2.0,0.05,0.05,0.5,0.0,-0.12,0.0,-3.0
3.073,S20260416_115710,SC01,accel_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0.0,3.0,2.0,0.05,0.05,0.5,0.0,-0.12,0.0,-3.0
3.135,S20260416_115710,SC01,accel_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0.0,3.0,2.0,0.05,0.05,0.5,0.0,-0.12,0.0,-3.0
3.195,S20260416_115710,SC01,accel_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0.0,3.0,2.0,0.05,0.05,0.5,0.0,-0.12,0.0,-3.0
3.263,S20260416_115710,SC01,accel_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0.0,3.0,2.0,0.05,0.05,0.5,0.0,-0.12,0.0,-3.0
3.321,S20260416_115710,SC01,accel_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0.0,3.0,2.0,0.05,0.05,0.5,0.0,-0.12,0.0,-3.0
3.384,S20260416_115710,SC01,accel_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0.0,3.0,2.0,0.05,0.05,0.5,0.0,-0.12,0.0,-3.0
3.448,S20260416_115710,SC01,accel_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0.0,3.0,2.0,0.05,0.05,0.5,0.0,-0.12,0.0,-3.0
3.509,S20260416_115710,SC01,accel_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0.0,3.0,2.0,0.05,0.05,0.5,0.0,-0.12,0.0,-3.0
3.575,S20260416_115710,SC01,accel_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0.0,3.0,2.0,0.05,0.05,0.5,0.0,-0.12,0.0,-3.0
3.634,S20260416_115710,SC01,accel_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0.0,3.0,2.0,0.05,0.05,0.5,0.0,-0.12,0.0,-3.0
3.696,S20260416_115710,SC01,accel_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0.0,3.0,2.0,0.05,0.05,0.5,0.0,-0.12,0.0,-3.0
3.771,S20260416_115710,SC01,accel_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0.0,3.0,2.0,0.05,0.05,0.5,0.0,-0.12,0.0,-3.0
3.832,S20260416_115710,SC01,accel_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0.0,3.0,2.0,0.05,0.05,0.5,0.0,-0.12,0.0,-3.0
3.895,S20260416_115710,SC01,accel_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0.0,3.0,2.0,0.05,0.05,0.5,0.0,-0.12,0.0,-3.0
3.946,S20260416_115710,SC01,accel_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0.0,3.0,2.0,0.05,0.05,0.5,0.0,-0.12,0.0,-3.0
4.01,S20260416_115710,SC01,accel_2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.18,0.0,6.0,2.0,0.05,0.05,0.5,0.0,-0.18,0.0,-6.0
4.075,S20260416_115710,SC01,accel_2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.18,0.0,6.0,2.0,0.05,0.05,0.5,0.0,-0.18,0.0,-6.0
4.135,S20260416_115710,SC01,accel_2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.18,0.0,6.0,2.0,0.05,0.05,0.5,0.0,-0.18,0.0,-6.0
4.2,S20260416_115710,SC01,accel_2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.18,0.0,6.0,2.0,0.05,0.05,0.5,0.0,-0.18,0.0,-6.0
4.265,S20260416_115710,SC01,accel_2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.18,0.0,6.0,2.0,0.05,0.05,0.5,0.0,-0.18,0.0,-6.0
4.329,S20260416_115710,SC01,accel_2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.18,0.0,6.0,2.0,0.05,0.05,0.5,0.0,-0.18,0.0,-6.0
4.384,S20260416_115710,SC01,accel_2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.18,0.0,6.0,2.0,0.05,0.05,0.5,0.0,-0.18,0.0,-6.0
4.455,S20260416_115710,SC01,accel_2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.18,0.0,6.0,2.0,0.05,0.05,0.5,0.0,-0.18,0.0,-6.0
4.516,S20260416_115710,SC01,accel_2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.18,0.0,6.0,2.0,0.05,0.05,0.5,0.0,-0.18,0.0,-6.0
4.57,S20260416_115710,SC01,accel_2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.18,0.0,6.0,2.0,0.05,0.05,0.5,0.0,-0.18,0.0,-6.0
4.634,S20260416_115710,SC01,accel_2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.18,0.0,6.0,2.0,0.05,0.05,0.5,0.0,-0.18,0.0,-6.0
