row_id,wall_time_utc,session_id,scenario_id,execution_mode,scenario_time_s,program_time_s,sample_dt_s,phase,scenario_started,steer_cmd_deg,throttle_cmd,brake_cmd,speed_mps,yaw_rad,yaw_rate_rps,mode_id,fault_flag,rtt_ms,jitter_ms,steer_ref_deg,throttle_ref,brake_ref,speed_ref_mps,tol_steer_deg,tol_throttle,tol_brake,tol_speed_mps,e_speed_actual,e_steer_actual,speed_in_tol
1,2026-04-21T10:03:50.280Z,S20260421_110349,SC01,AUTO,,1.1214,1.1159,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
2,2026-04-21T10:03:50.303Z,S20260421_110349,SC01,AUTO,,1.1439,0.0228,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
3,2026-04-21T10:03:50.364Z,S20260421_110349,SC01,AUTO,,1.2056,0.0617,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
4,2026-04-21T10:03:50.427Z,S20260421_110349,SC01,AUTO,,1.2678,0.0622,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
5,2026-04-21T10:03:50.493Z,S20260421_110349,SC01,AUTO,,1.3346,0.0668,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
6,2026-04-21T10:03:50.554Z,S20260421_110349,SC01,AUTO,,1.3957,0.0611,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
7,2026-04-21T10:03:50.615Z,S20260421_110349,SC01,AUTO,,1.4558,0.0601,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
8,2026-04-21T10:03:50.678Z,S20260421_110349,SC01,AUTO,,1.5196,0.0638,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
9,2026-04-21T10:03:50.741Z,S20260421_110349,SC01,AUTO,,1.5824,0.0628,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
10,2026-04-21T10:03:50.803Z,S20260421_110349,SC01,AUTO,,1.6444,0.062,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
11,2026-04-21T10:03:50.881Z,S20260421_110349,SC01,AUTO,,1.7219,0.0775,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
12,2026-04-21T10:03:50.932Z,S20260421_110349,SC01,AUTO,,1.7734,0.0514,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
13,2026-04-21T10:03:50.991Z,S20260421_110349,SC01,AUTO,,1.8326,0.0593,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
14,2026-04-21T10:03:51.054Z,S20260421_110349,SC01,AUTO,,1.8948,0.0622,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
15,2026-04-21T10:03:51.115Z,S20260421_110349,SC01,AUTO,,1.9559,0.061,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
16,2026-04-21T10:03:51.177Z,S20260421_110349,SC01,AUTO,,2.0182,0.0623,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
17,2026-04-21T10:03:51.242Z,S20260421_110349,SC01,AUTO,,2.0833,0.065,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
18,2026-04-21T10:03:51.306Z,S20260421_110349,SC01,AUTO,,2.1471,0.0639,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
19,2026-04-21T10:03:51.367Z,S20260421_110349,SC01,AUTO,,2.2079,0.0608,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
20,2026-04-21T10:03:51.427Z,S20260421_110349,SC01,AUTO,,2.268,0.0601,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
21,2026-04-21T10:03:51.490Z,S20260421_110349,SC01,AUTO,,2.3309,0.0628,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
22,2026-04-21T10:03:51.554Z,S20260421_110349,SC01,AUTO,,2.3948,0.064,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
23,2026-04-21T10:03:51.618Z,S20260421_110349,SC01,AUTO,,2.4589,0.0641,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
24,2026-04-21T10:03:51.682Z,S20260421_110349,SC01,AUTO,,2.5228,0.0639,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
25,2026-04-21T10:03:51.747Z,S20260421_110349,SC01,AUTO,,2.5886,0.0657,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
26,2026-04-21T10:03:51.807Z,S20260421_110349,SC01,AUTO,,2.6478,0.0593,start,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.8,0.0,0.0,1
