row_id,wall_time_utc,session_id,scenario_id,execution_mode,scenario_time_s,program_time_s,sample_dt_s,phase,scenario_started,vehicle_mass_kg,mass_label,steer_cmd_deg,throttle_cmd,brake_cmd,speed_mps,yaw_rad,yaw_rate_rps,mode_id,fault_flag,rtt_ms,jitter_ms,steer_ref_deg,throttle_ref,brake_ref,speed_min_mps,speed_max_mps,tol_steer_deg,tol_throttle,tol_brake,speed_in_corridor,e_speed_low,e_speed_high,e_steer_actual
1,2026-04-27T10:41:40.099Z,S20260427_114139,N/A,AUTO,,0.7576,0.7414,N/A,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,
2,2026-04-27T10:41:40.118Z,S20260427_114139,N/A,AUTO,,0.7766,0.019,N/A,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,
3,2026-04-27T10:41:40.185Z,S20260427_114139,N/A,AUTO,,0.844,0.0674,N/A,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,
4,2026-04-27T10:41:40.247Z,S20260427_114139,N/A,AUTO,,0.9052,0.0612,N/A,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,
5,2026-04-27T10:41:40.309Z,S20260427_114139,N/A,AUTO,,0.9677,0.0624,N/A,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,
6,2026-04-27T10:41:40.371Z,S20260427_114139,N/A,AUTO,,1.0293,0.0616,N/A,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,
7,2026-04-27T10:41:40.442Z,S20260427_114139,N/A,AUTO,,1.101,0.0718,N/A,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,
8,2026-04-27T10:41:40.500Z,S20260427_114139,N/A,AUTO,,1.1589,0.0579,N/A,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,
9,2026-04-27T10:41:40.561Z,S20260427_114139,N/A,AUTO,,1.22,0.0611,N/A,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,
10,2026-04-27T10:41:40.621Z,S20260427_114139,N/A,AUTO,,1.2797,0.0598,N/A,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,
11,2026-04-27T10:41:40.687Z,S20260427_114139,N/A,AUTO,,1.3453,0.0656,N/A,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,
12,2026-04-27T10:41:40.750Z,S20260427_114139,N/A,AUTO,,1.4084,0.063,N/A,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,
