row_id,wall_time_utc,session_id,scenario_id,execution_mode,scenario_time_s,program_time_s,sample_dt_s,phase,scenario_started,vehicle_mass_kg,mass_label,steer_cmd_deg,throttle_cmd,brake_cmd,speed_mps,yaw_rad,yaw_rate_rps,mode_id,fault_flag,rtt_ms,jitter_ms,steer_ref_deg,throttle_ref,brake_ref,speed_min_mps,speed_max_mps,tol_steer_deg,tol_throttle,tol_brake,speed_in_corridor,e_speed_low,e_speed_high,e_steer_actual
1,2026-04-24T08:49:50.786Z,S20260424_094949,SC01,AUTO,,0.7982,0.7932,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
2,2026-04-24T08:49:50.817Z,S20260424_094949,SC01,AUTO,,0.8297,0.0315,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
3,2026-04-24T08:49:50.870Z,S20260424_094949,SC01,AUTO,,0.8826,0.0529,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
4,2026-04-24T08:49:50.943Z,S20260424_094949,SC01,AUTO,,0.9552,0.0726,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
5,2026-04-24T08:49:51.948Z,S20260424_094949,SC01,AUTO,,1.9602,1.0051,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
6,2026-04-24T08:49:51.993Z,S20260424_094949,SC01,AUTO,,2.0052,0.045,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
7,2026-04-24T08:49:52.057Z,S20260424_094949,SC01,AUTO,,2.0691,0.0639,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
8,2026-04-24T08:49:52.118Z,S20260424_094949,SC01,AUTO,,2.1303,0.0611,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
9,2026-04-24T08:49:52.184Z,S20260424_094949,SC01,AUTO,,2.1962,0.0659,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
10,2026-04-24T08:49:52.242Z,S20260424_094949,SC01,AUTO,,2.2542,0.0581,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
11,2026-04-24T08:49:52.306Z,S20260424_094949,SC01,AUTO,,2.3185,0.0642,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
12,2026-04-24T08:49:52.369Z,S20260424_094949,SC01,AUTO,,2.3808,0.0623,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
13,2026-04-24T08:49:52.436Z,S20260424_094949,SC01,AUTO,,2.4487,0.0678,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
14,2026-04-24T08:49:52.501Z,S20260424_094949,SC01,AUTO,,2.5137,0.0651,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
15,2026-04-24T08:49:52.559Z,S20260424_094949,SC01,AUTO,,2.5716,0.0579,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
16,2026-04-24T08:49:52.619Z,S20260424_094949,SC01,AUTO,,2.6313,0.0596,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
17,2026-04-24T08:49:52.683Z,S20260424_094949,SC01,AUTO,,2.6952,0.0639,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
18,2026-04-24T08:49:52.743Z,S20260424_094949,SC01,AUTO,,2.7557,0.0605,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
19,2026-04-24T08:49:52.818Z,S20260424_094949,SC01,AUTO,,2.8298,0.0742,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
20,2026-04-24T08:49:52.868Z,S20260424_094949,SC01,AUTO,,2.8801,0.0503,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
21,2026-04-24T08:49:52.941Z,S20260424_094949,SC01,AUTO,,2.9536,0.0734,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
22,2026-04-24T08:49:53.006Z,S20260424_094949,SC01,AUTO,,3.0179,0.0643,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
23,2026-04-24T08:49:53.065Z,S20260424_094949,SC01,AUTO,,3.077,0.0592,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
24,2026-04-24T08:49:53.118Z,S20260424_094949,SC01,AUTO,,3.1299,0.0529,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
25,2026-04-24T08:49:53.183Z,S20260424_094949,SC01,AUTO,,3.1951,0.0652,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
26,2026-04-24T08:49:53.244Z,S20260424_094949,SC01,AUTO,,3.2565,0.0612,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
27,2026-04-24T08:49:53.308Z,S20260424_094949,SC01,AUTO,,3.3199,0.0635,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
28,2026-04-24T08:49:53.369Z,S20260424_094949,SC01,AUTO,,3.3809,0.0609,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
29,2026-04-24T08:49:53.437Z,S20260424_094949,SC01,AUTO,,3.4493,0.0683,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
30,2026-04-24T08:49:53.499Z,S20260424_094949,SC01,AUTO,,3.5112,0.0619,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
31,2026-04-24T08:49:53.557Z,S20260424_094949,SC01,AUTO,,3.5696,0.0584,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
32,2026-04-24T08:49:53.621Z,S20260424_094949,SC01,AUTO,,3.6335,0.064,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
33,2026-04-24T08:49:53.682Z,S20260424_094949,SC01,AUTO,,3.6943,0.0608,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
34,2026-04-24T08:49:53.743Z,S20260424_094949,SC01,AUTO,,3.7552,0.0609,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
35,2026-04-24T08:49:53.805Z,S20260424_094949,SC01,AUTO,,3.8172,0.062,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
36,2026-04-24T08:49:53.870Z,S20260424_094949,SC01,AUTO,,3.8825,0.0652,start,0,1500,VIDE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
37,2026-04-24T08:49:53.935Z,S20260424_094949,SC01,AUTO,,3.947,0.0647,start,0,1500,VIDE,0.0,0.0,0.0,0.0,-0.698132,-0.0,1,0,3225.118,667.969,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
38,2026-04-24T08:49:54.002Z,S20260424_094949,SC01,AUTO,,4.0146,0.0675,start,0,1500,VIDE,0.0,0.0,0.0,0.0,-0.698132,0.0,1,0,3167.317,24.649,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
39,2026-04-24T08:49:54.055Z,S20260424_094949,SC01,AUTO,,4.0672,0.0526,start,0,1500,VIDE,0.0,0.0,0.0,0.0,-0.698132,0.0,1,0,3167.317,24.649,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
40,2026-04-24T08:49:54.118Z,S20260424_094949,SC01,AUTO,,4.1303,0.0631,start,0,1500,VIDE,0.0,0.0,0.0,0.0,-0.698132,0.0,1,0,3177.616,18.536,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
41,2026-04-24T08:49:54.183Z,S20260424_094949,SC01,AUTO,,4.1958,0.0654,start,0,1500,VIDE,0.0,0.0,0.0,0.0,-0.698132,0.0,1,0,3162.588,17.231,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
42,2026-04-24T08:49:54.243Z,S20260424_094949,SC01,AUTO,,4.2557,0.06,start,0,1500,VIDE,0.0,0.0,0.0,0.0,-0.698132,0.0,1,0,2185.3,19.583,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
43,2026-04-24T08:49:54.308Z,S20260424_094949,SC01,AUTO,,4.3201,0.0644,start,0,1500,VIDE,0.0,0.0,0.0,0.0,-0.698132,0.0,1,0,2142.725,18.535,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
44,2026-04-24T08:49:54.368Z,S20260424_094949,SC01,AUTO,,4.3801,0.06,start,0,1500,VIDE,0.0,0.0,0.0,0.0,-0.698132,-0.0,1,0,2132.133,19.196,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
45,2026-04-24T08:49:54.431Z,S20260424_094949,SC01,AUTO,,4.4433,0.0633,start,0,1500,VIDE,0.0,0.0,0.0,0.0,-0.698132,-0.0,1,0,2078.398,19.666,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
46,2026-04-24T08:49:54.496Z,S20260424_094949,SC01,AUTO,,4.5088,0.0653,start,0,1500,VIDE,0.0,0.0,0.0,0.0,-0.698132,0.0,1,0,2053.46,20.03,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
47,2026-04-24T08:49:54.560Z,S20260424_094949,SC01,AUTO,,4.572,0.0634,start,0,1500,VIDE,0.0,0.0,0.0,0.0,-0.698132,0.0,1,0,2015.371,18.57,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
48,2026-04-24T08:49:54.619Z,S20260424_094949,SC01,AUTO,,4.6313,0.0592,start,0,1500,VIDE,0.0,0.0,0.0,0.0,-0.698132,0.0,1,0,2014.076,15.191,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
49,2026-04-24T08:49:54.682Z,S20260424_094949,SC01,AUTO,,4.6941,0.0629,start,0,1500,VIDE,0.0,0.0,0.0,0.0,-0.698132,-0.0,1,0,1956.807,19.766,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
50,2026-04-24T08:49:54.744Z,S20260424_094949,SC01,AUTO,,4.7559,0.0617,start,0,1500,VIDE,0.0,0.0,0.0,0.0,-0.698132,-0.0,1,0,1915.458,20.432,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
51,2026-04-24T08:49:54.816Z,S20260424_094949,SC01,AUTO,,4.8284,0.0726,start,0,1500,VIDE,0.0,0.0,0.0,0.0,-0.698132,0.0,1,0,1900.419,18.625,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
52,2026-04-24T08:49:54.871Z,S20260424_094949,SC01,AUTO,,4.883,0.0546,start,0,1500,VIDE,0.0,0.0,0.0,0.0,-0.698132,0.0,1,0,1855.306,24.239,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
53,2026-04-24T08:49:54.936Z,S20260424_094949,SC01,AUTO,0.0012,4.9484,0.0653,start,1,1500,VIDE,0.0,0.0,0.0,0.0,-0.698132,-0.0,1,0,1839.433,23.084,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
54,2026-04-24T08:49:54.994Z,S20260424_094949,SC01,AUTO,0.0591,5.0062,0.0579,start,1,1500,VIDE,0.0,0.0,0.0,0.0,-0.698132,-0.0,1,0,1805.859,19.985,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
55,2026-04-24T08:49:55.057Z,S20260424_094949,SC01,AUTO,0.1219,5.0691,0.0628,start,1,1500,VIDE,0.0,0.0,0.0,0.0,-0.698132,0.0,1,0,1784.949,19.336,0.0,0.0,0.0,0.0,0.2,2.0,1.0,0.05,1,0.0,0.2,0.0
